Make,Model,Engine Size(L),Fuel Type,Fuel Consumption Comb (mpg),CO2 Emissions
CADILLAC,ESCALADE ESV AWD,6.2,E,13,354
CADILLAC,SRX,3.6,X,23,283
CADILLAC,SRX AWD,3.6,X,22,294
CADILLAC,XTS,3.6,X,25,262
CADILLAC,XTS AWD,3.6,X,24,271
CADILLAC,XTS Vsport AWD,3.6,Z,22,290
CHEVROLET,CAMARO,3.6,X,25,258
CHEVROLET,CAMARO,3.6,X,24,269
CHEVROLET,CAMARO 2LS,3.6,X,27,242
CHEVROLET,CAMARO SS,6.2,Z,22,294
CHEVROLET,CAMARO SS,6.2,Z,22,292
CHEVROLET,CAMARO ZL1,6.2,Z,17,382
CHEVROLET,CAMARO ZL1,6.2,Z,19,340
CHEVROLET,CORVETTE,6.2,Z,24,276
CHEVROLET,CORVETTE,6.2,Z,25,258
CHEVROLET,CRUZE,1.4,X,36,179
CHEVROLET,CRUZE,1.4,X,36,179
CHEVROLET,CRUZE,1.8,X,32,202
CHEVROLET,CRUZE,1.8,X,34,189
CHEVROLET,CRUZE DIESEL,2,D,40,192
CHEVROLET,CRUZE ECO,1.4,X,37,177
CHEVROLET,CRUZE ECO,1.4,X,40,163
CHEVROLET,EQUINOX,2.4,X,31,209
CHEVROLET,EQUINOX,3.6,X,24,276
CHEVROLET,EQUINOX,3.6,E,17,259
CHEVROLET,EQUINOX AWD,2.4,X,28,230
CHEVROLET,EQUINOX AWD,3.6,X,22,290
CHEVROLET,EQUINOX AWD,3.6,E,17,272
CHEVROLET,EXPRESS 1500 CARGO,4.3,X,19,347
CHEVROLET,EXPRESS 1500 CARGO,5.3,X,18,366
CHEVROLET,EXPRESS 1500 CARGO,5.3,E,14,334
CHEVROLET,EXPRESS 1500 CARGO AWD,5.3,X,17,380
CHEVROLET,EXPRESS 1500 CARGO AWD,5.3,E,13,344
CHEVROLET,EXPRESS 1500 CARGO CONV,5.3,X,17,380
CHEVROLET,EXPRESS 1500 CARGO CONV,5.3,E,13,344
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,5.3,X,17,380
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,5.3,E,12,362
CHEVROLET,EXPRESS 1500 PASSENGER,5.3,X,17,380
CHEVROLET,EXPRESS 1500 PASSENGER,5.3,E,13,344
CHEVROLET,EXPRESS 1500 PASSENGER AWD,5.3,X,17,380
CHEVROLET,EXPRESS 1500 PASSENGER AWD,5.3,E,12,362
CHEVROLET,EXPRESS 2500 PASSENGER,4.8,X,16,414
CHEVROLET,EXPRESS 2500 PASSENGER,6,X,15,432
CHEVROLET,EXPRESS 2500 PASSENGER,6,E,11,411
CHEVROLET,EXPRESS 3500 PASSENGER,4.8,X,16,419
CHEVROLET,EXPRESS 3500 PASSENGER,6,X,15,435
CHEVROLET,EXPRESS 3500 PASSENGER,6,E,11,413
CHEVROLET,IMPALA,2.5,X,29,221
CHEVROLET,IMPALA,3.6,X,27,244
CHEVROLET,IMPALA,3.6,E,20,229
CHEVROLET,IMPALA ECO,2.4,X,32,200
CHEVROLET,MALIBU,2,Z,29,228
CHEVROLET,MALIBU,2.5,X,35,184
CHEVROLET,ORLANDO,2.4,X,27,244
CHEVROLET,ORLANDO,2.4,X,28,235
CHEVROLET,SILVERADO,4.3,X,24,271
CHEVROLET,SILVERADO,4.3,E,17,269
CHEVROLET,SILVERADO,5.3,X,22,292
CHEVROLET,SILVERADO,5.3,E,17,270
CHEVROLET,SILVERADO,6.2,Z,20,324
CHEVROLET,SILVERADO 4WD,4.3,X,22,290
CHEVROLET,SILVERADO 4WD,4.3,E,16,285
CHEVROLET,SILVERADO 4WD,5.3,X,22,299
CHEVROLET,SILVERADO 4WD,5.3,E,16,277
CHEVROLET,SILVERADO 4WD,6.2,Z,20,329
CHEVROLET,SONIC,1.4,X,35,184
CHEVROLET,SONIC,1.4,X,38,173
CHEVROLET,SONIC,1.8,X,34,191
CHEVROLET,SONIC,1.8,X,36,182
CHEVROLET,SONIC RS,1.4,X,34,191
CHEVROLET,SONIC RS,1.4,X,35,184
CHEVROLET,SONIC 5,1.4,X,35,184
CHEVROLET,SONIC 5,1.4,X,38,172
CHEVROLET,SONIC 5,1.8,X,34,191
CHEVROLET,SONIC 5,1.8,X,36,182
CHEVROLET,SONIC 5 RS,1.4,X,34,191
CHEVROLET,SONIC 5 RS,1.4,X,35,184
CHEVROLET,SPARK,1.2,X,41,159
CHEVROLET,SPARK,1.2,X,41,159
CHEVROLET,SUBURBAN,5.3,X,20,317
CHEVROLET,SUBURBAN,5.3,E,15,294
CHEVROLET,SUBURBAN 4WD,5.3,X,20,317
CHEVROLET,SUBURBAN 4WD,5.3,E,15,294
CHEVROLET,TAHOE,5.3,X,20,317
CHEVROLET,TAHOE,5.3,E,15,294
CHEVROLET,TAHOE 4WD,5.3,X,20,317
CHEVROLET,TAHOE 4WD,5.3,E,15,294
CHEVROLET,TRAVERSE,3.6,X,23,283
CHEVROLET,TRAVERSE AWD,3.6,X,22,290
CHEVROLET,TRAX,1.4,X,34,193
CHEVROLET,TRAX,1.4,X,35,186
CHEVROLET,TRAX AWD,1.4,X,31,207
CHRYSLER,300,3.6,X,27,237
CHRYSLER,200 CONVERTIBLE,2.4,X,28,232
CHRYSLER,200 CONVERTIBLE,2.4,X,26,246
CHRYSLER,200 CONVERTIBLE FFV,3.6,X,27,242
CHRYSLER,200 CONVERTIBLE FFV,3.6,E,20,230
CHRYSLER,200 SEDAN,2.4,X,29,225
CHRYSLER,200 SEDAN,2.4,X,28,230
CHRYSLER,200 SEDAN FFV,3.6,X,27,242
CHRYSLER,200 SEDAN FFV,3.6,E,20,230
CHRYSLER,300 (MDS),5.7,X,22,294
CHRYSLER,300 AWD,3.6,X,26,251
CHRYSLER,300 AWD (MDS),5.7,X,21,308
CHRYSLER,300 AWD FFV,3.6,X,26,251
CHRYSLER,300 AWD FFV,3.6,E,19,237
CHRYSLER,300 FFV,3.6,X,27,237
CHRYSLER,300 FFV,3.6,E,20,222
CHRYSLER,300 SRT (MDS),6.4,Z,20,317
CHRYSLER,TOWN & COUNTRY FFV,3.6,X,24,276
CHRYSLER,TOWN & COUNTRY FFV,3.6,E,17,269
DODGE,AVENGER,2.4,X,29,225
DODGE,AVENGER,2.4,X,28,230
DODGE,AVENGER FFV,3.6,X,27,242
DODGE,AVENGER FFV,3.6,E,20,230
DODGE,CHALLENGER,3.6,X,25,258
DODGE,CHALLENGER,5.7,X,22,301
DODGE,CHALLENGER (MDS),5.7,X,22,294
DODGE,CHALLENGER SRT,6.4,Z,20,320
DODGE,CHALLENGER SRT (MDS),6.4,Z,20,317
DODGE,CHARGER,3.6,X,25,258
DODGE,CHARGER,3.6,X,27,237
DODGE,CHARGER (MDS),5.7,X,22,294
DODGE,CHARGER AWD,3.6,X,26,251
DODGE,CHARGER AWD (MDS),5.7,X,21,308
DODGE,CHARGER AWD FFV,3.6,X,26,251
DODGE,CHARGER AWD FFV,3.6,E,19,237
DODGE,CHARGER FFV,3.6,X,25,258
DODGE,CHARGER FFV,3.6,E,18,251
DODGE,CHARGER FFV,3.6,X,28,235
DODGE,CHARGER FFV,3.6,E,20,222
DODGE,CHARGER SRT (MDS),6.4,Z,20,317
DODGE,DART,2,X,35,186
DODGE,DART,2.4,X,33,198
DODGE,DART,2.4,X,32,202
DODGE,DART FFV,2,X,33,198
DODGE,DART FFV,2,E,23,195
DODGE,DART GT,2.4,X,31,212
DODGE,DART GT,2.4,X,32,202
DODGE,DART TURBO AERO,1.4,X,39,168
DODGE,DART TURBO AERO,1.4,X,39,168
DODGE,DURANGO AWD (MDS),5.7,X,20,331
DODGE,DURANGO AWD FFV,3.6,X,23,278
DODGE,DURANGO AWD FFV,3.6,E,18,250
DODGE,GRAND CARAVAN FFV,3.6,X,24,271
DODGE,GRAND CARAVAN FFV,3.6,E,17,264
DODGE,JOURNEY,2.4,X,25,255
DODGE,JOURNEY AWD,3.6,X,23,285
DODGE,JOURNEY FFV,3.6,X,24,276
DODGE,JOURNEY FFV,3.6,E,17,259
FIAT,500 ABARTH CABRIO,1.4,X,36,179
FIAT,500 ABARTH HATCHBACK,1.4,X,36,179
FIAT,500 CABRIO,1.4,X,36,182
FIAT,500 CABRIO,1.4,X,39,166
FIAT,500 CABRIO TURBO,1.4,X,36,179
FIAT,500 HATCHBACK,1.4,X,36,182
FIAT,500 HATCHBACK,1.4,X,42,156
FIAT,500 HATCHBACK TURBO,1.4,X,36,179
FIAT,500L TURBO,1.4,X,32,200
FIAT,500L TURBO,1.4,X,34,193
FORD,C-MAX HYBRID,2,X,47,138
FORD,E150 VAN FFV,4.6,X,17,373
FORD,E150 VAN FFV,4.6,E,13,350
FORD,E150 VAN FFV,5.4,X,16,396
FORD,E150 VAN FFV,5.4,E,13,360
FORD,E150 WAGON FFV,4.6,X,17,386
FORD,E150 WAGON FFV,4.6,E,12,368
FORD,E350 WAGON,6.8,X,13,488
FORD,E350 WAGON FFV,5.4,X,15,421
FORD,E350 WAGON FFV,5.4,E,12,382
FORD,EDGE,2,X,29,225
FORD,EDGE,3.5,X,26,248
FORD,EDGE AWD,3.5,X,25,264
FORD,EDGE AWD,3.7,X,23,281
FORD,ESCAPE,1.6,X,31,209
FORD,ESCAPE,2,X,29,221
FORD,ESCAPE,2.5,X,30,216
FORD,ESCAPE AWD,1.6,X,30,214
FORD,ESCAPE AWD,2,X,28,230
FORD,EXPEDITION 4X4 FFV,5.4,X,18,368
FORD,EXPEDITION 4X4 FFV,5.4,E,13,346
FORD,EXPLORER,2,X,28,235
FORD,EXPLORER AWD,3.5,X,22,299
FORD,EXPLORER FFV,3.5,X,24,274
FORD,EXPLORER FFV,3.5,E,18,254
FORD,EXPLORER FFV AWD,3.5,X,23,288
FORD,EXPLORER FFV AWD,3.5,E,17,267
FORD,F-150,3.5,X,22,292
FORD,F-150,3.5,X,22,294
FORD,F-150,6.2,X,18,366
FORD,F-150 4X4,3.5,X,20,317
FORD,F-150 4X4,3.5,X,21,308
FORD,F-150 4X4,6.2,X,16,402
FORD,F-150 FFV,3.7,X,23,283
FORD,F-150 FFV,3.7,E,17,264
FORD,F-150 FFV,3.7,X,23,283
FORD,F-150 FFV,3.7,E,17,264
FORD,F-150 FFV,5,X,19,336
FORD,F-150 FFV,5,E,14,315
FORD,F-150 FFV,5,X,19,336
FORD,F-150 FFV,5,E,14,315
FORD,F-150 FFV 4X4,3.7,X,21,308
FORD,F-150 FFV 4X4,3.7,E,16,288
FORD,F-150 FFV 4X4,3.7,X,21,308
FORD,F-150 FFV 4X4,3.7,E,16,288
FORD,F-150 FFV 4X4,5,X,19,343
FORD,F-150 FFV 4X4,5,E,14,320
FORD,F-150 FFV 4X4,5,X,19,340
FORD,F-150 FFV 4X4,5,E,14,318
FORD,F-150 RAPTOR 4X4,6.2,X,16,414
FORD,FIESTA,1.6,X,37,175
FORD,FIESTA,1.6,X,37,175
FORD,FIESTA SFE,1,X,43,152
FORD,FIESTA SFE,1.6,X,40,161
FORD,FIESTA ST,1.6,X,35,184
FORD,FLEX,3.5,X,25,264
FORD,FLEX AWD,3.5,X,23,278
FORD,FLEX AWD (EcoBoost),3.5,X,22,294
FORD,FOCUS,2,X,32,205
FORD,FOCUS FFV,2,X,37,177
FORD,FOCUS FFV,2,E,27,165
FORD,FOCUS FFV,2,X,36,179
FORD,FOCUS FFV,2,E,27,165
FORD,FOCUS FFV,2,X,35,184
FORD,FOCUS FFV,2,E,27,170
FORD,FOCUS SFE FFV,2,X,39,166
FORD,FOCUS SFE FFV,2,E,28,162
FORD,FUSION,1.5,X,33,196
FORD,FUSION,1.6,X,35,186
FORD,FUSION,2,X,31,207
FORD,FUSION,2.5,X,32,205
FORD,FUSION (Start/Stop),1.5,X,35,186
FORD,FUSION AWD,2,X,30,216
FORD,FUSION HYBRID,2,X,51,126
FORD,MUSTANG,3.7,X,28,235
FORD,MUSTANG,3.7,X,27,244
FORD,MUSTANG,5,X,25,264
FORD,MUSTANG,5,X,22,292
FORD,MUSTANG,5.8,Z,21,304
FORD,MUSTANG CONVERTIBLE,3.7,X,27,244
FORD,TAURUS,2,X,31,209
FORD,TAURUS AWD,3.5,X,24,271
FORD,TAURUS FFV,3.5,X,27,237
FORD,TAURUS FFV,3.5,E,20,229
FORD,TAURUS FFV AWD,3.5,X,25,258
FORD,TAURUS FFV AWD,3.5,E,18,251
FORD,TRANSIT CONNECT,1.6,X,30,218
FORD,TRANSIT CONNECT,2.5,X,29,228
FORD,TRANSIT CONNECT TAXI,1.6,X,28,232
FORD,TRANSIT CONNECT WAGON,2.5,X,27,239
GMC,ACADIA,3.6,X,23,283
GMC,ACADIA AWD,3.6,X,22,297
GMC,SAVANA 1500 CARGO,4.3,X,19,347
GMC,SAVANA 1500 CARGO,5.3,X,18,366
GMC,SAVANA 1500 CARGO,5.3,E,14,334
GMC,SAVANA 1500 CARGO AWD,5.3,X,17,380
GMC,SAVANA 1500 CARGO AWD,5.3,E,13,344
GMC,SAVANA 1500 CARGO CONV,5.3,X,17,380
GMC,SAVANA 1500 CARGO CONV,5.3,E,13,344
GMC,SAVANA 1500 CARGO CONV AWD,5.3,X,17,380
GMC,SAVANA 1500 CARGO CONV AWD,5.3,E,12,362
GMC,SAVANA 1500 PASSENGER,5.3,X,17,380
GMC,SAVANA 1500 PASSENGER,5.3,E,13,344
GMC,SAVANA 1500 PASSENGER AWD,5.3,X,17,380
GMC,SAVANA 1500 PASSENGER AWD,5.3,E,12,362
GMC,SAVANA 2500 PASSENGER,4.8,X,16,414
GMC,SAVANA 2500 PASSENGER,6,X,15,432
GMC,SAVANA 2500 PASSENGER,6,E,11,411
GMC,SAVANA 3500 PASSENGER,4.8,X,16,419
GMC,SAVANA 3500 PASSENGER,6,X,15,435
GMC,SAVANA 3500 PASSENGER,6,E,11,413
GMC,SIERRA,4.3,X,24,271
GMC,SIERRA,4.3,E,17,269
GMC,SIERRA,5.3,X,22,292
GMC,SIERRA,5.3,E,17,270
GMC,SIERRA,6.2,Z,20,324
GMC,SIERRA 4WD,4.3,X,22,290
GMC,SIERRA 4WD,4.3,E,16,285
GMC,SIERRA 4WD,5.3,X,22,299
GMC,SIERRA 4WD,5.3,E,16,277
GMC,SIERRA 4WD,6.2,Z,20,329
GMC,TERRAIN,2.4,X,31,209
GMC,TERRAIN,3.6,X,24,276
GMC,TERRAIN,3.6,E,17,259
GMC,TERRAIN AWD,2.4,X,28,230
GMC,TERRAIN AWD,3.6,X,22,290
GMC,TERRAIN AWD,3.6,E,17,272
GMC,YUKON,5.3,X,20,317
GMC,YUKON,5.3,E,15,294
GMC,YUKON 4WD,5.3,X,20,317
GMC,YUKON 4WD,5.3,E,15,294
GMC,YUKON DENALI AWD,6.2,Z,19,338
GMC,YUKON DENALI AWD,6.2,E,14,322
GMC,YUKON DENALI XL AWD,6.2,Z,17,377
GMC,YUKON DENALI XL AWD,6.2,E,13,354
GMC,YUKON XL,5.3,X,20,317
GMC,YUKON XL,5.3,E,15,294
GMC,YUKON XL 4WD,5.3,X,20,317
GMC,YUKON XL 4WD,5.3,E,15,294
HONDA,ACCORD,2.4,X,36,182
HONDA,ACCORD,2.4,X,35,186
HONDA,ACCORD,2.4,X,32,200
HONDA,ACCORD,3.5,X,31,209
HONDA,ACCORD,3.5,X,29,221
HONDA,ACCORD,3.5,X,26,251
HONDA,ACCORD HYBRID,2,X,59,110
HONDA,CIVIC,1.8,X,40,161
HONDA,CIVIC,1.8,X,39,166
HONDA,CIVIC,1.8,X,37,175
HONDA,CROSSTOUR AWD,3.5,X,26,246
HONDA,CR-V,2.4,X,31,209
HONDA,CR-V AWD,2.4,X,30,216
HONDA,CR-Z,1.5,X,45,145
HONDA,CR-Z,1.5,X,41,159
HONDA,FIT,1.5,X,38,172
HONDA,FIT,1.5,X,37,177
HONDA,ODYSSEY,3.5,X,27,244
HONDA,PILOT,3.5,X,25,265
HONDA,PILOT AWD,3.5,X,24,276
HONDA,RIDGELINE AWD,3.5,X,21,308
HYUNDAI,ACCENT,1.6,X,37,177
HYUNDAI,ACCENT,1.6,X,37,177
HYUNDAI,ELANTRA GT,2,X,33,198
HYUNDAI,ELANTRA GT,2,X,33,196
HYUNDAI,EQUUS,5,Z,21,304
HYUNDAI,GENESIS,3.8,X,25,255
HYUNDAI,SANTA FE,3.3,X,25,258
HYUNDAI,SANTA FE 4WD,3.3,X,24,267
HYUNDAI,SANTA FE SPORT,2.4,X,27,237
HYUNDAI,SANTA FE SPORT 4WD,2,X,25,264
HYUNDAI,SANTA FE SPORT 4WD,2.4,X,25,255
HYUNDAI,SONATA,2,X,29,221
HYUNDAI,SONATA,2.4,X,33,196
HYUNDAI,SONATA HYBRID,2.4,X,46,143
HYUNDAI,SONATA HYBRID LIMITED,2.4,X,45,145
HYUNDAI,TUCSON,2,X,30,214
HYUNDAI,TUCSON,2,X,28,232
HYUNDAI,TUCSON,2.4,X,28,230
HYUNDAI,TUCSON 4WD,2,X,27,242
HYUNDAI,TUCSON 4WD,2.4,X,27,244
HYUNDAI,VELOSTER,1.6,X,37,177
HYUNDAI,VELOSTER,1.6,X,35,184
HYUNDAI,VELOSTER TURBO,1.6,X,32,202
HYUNDAI,VELOSTER TURBO,1.6,X,33,196
INFINITI,Q50,3.7,Z,28,235
INFINITI,Q50 AWD,3.7,Z,26,248
INFINITI,Q50 HYBRID,3.5,Z,38,172
INFINITI,Q50 HYBRID AWD,3.5,Z,34,189
INFINITI,Q60 AWD COUPE,3.7,Z,25,265
INFINITI,Q60 CONVERTIBLE,3.7,Z,24,269
INFINITI,Q60 CONVERTIBLE,3.7,Z,23,283
INFINITI,Q60 COUPE,3.7,Z,25,255
INFINITI,Q60 COUPE,3.7,Z,24,267
INFINITI,Q70,3.7,Z,26,253
INFINITI,Q70,5.6,Z,23,283
INFINITI,Q70 AWD,3.7,Z,24,267
INFINITI,Q70 AWD,5.6,Z,22,294
INFINITI,Q70 HYBRID,3.5,Z,37,175
INFINITI,QX50 AWD,3.7,Z,24,271
INFINITI,QX60,3.5,Z,27,244
INFINITI,QX60 AWD,3.5,Z,26,253
INFINITI,QX60 HYBRID AWD,2.5,X,33,196
INFINITI,QX70 AWD,3.7,Z,22,294
INFINITI,QX70 AWD,5,Z,19,334
INFINITI,QX80 4WD,5.6,Z,19,345
JAGUAR,F-TYPE CONVERTIBLE,3,Z,27,237
JAGUAR,F-TYPE S CONVERTIBLE,3,Z,27,244
JAGUAR,F-TYPE V8 S CONVERTIBLE,5,Z,22,294
JAGUAR,XF,2,Z,27,242
JAGUAR,XF 3.0L AWD,3,Z,23,281
JAGUAR,XFR,5,Z,21,306
JAGUAR,XFR,5,E,16,290
JAGUAR,XFR-S,5,Z,21,306
JAGUAR,XJ AWD,3,Z,23,285
JAGUAR,XJ SUPERCHARGED,5,Z,21,306
JAGUAR,XJ SUPERCHARGED,5,E,16,280
JAGUAR,XJL AWD PORTFOLIO,3,Z,23,285
JAGUAR,XJL SUPERCHARGED,5,Z,21,306
