carat,clarity,depth,table,price
0.58,VVS1,61.5,55,2772
0.58,VVS1,61.7,56,2772
0.71,VS2,59.2,61,2772
0.75,SI2,61.3,56,2773
0.7,VS2,58,62,2773
1.17,I1,60.2,61,2774
0.6,VS1,61.7,55,2774
0.7,SI1,62.7,55,2774
0.83,VS2,64.6,54,2774
0.74,VS2,61.3,61,2775
0.72,VS2,63.7,56.4,2776
0.71,VS2,62.7,58,2776
0.71,VS2,62.2,57,2776
0.54,VVS2,61.6,56,2776
0.54,VVS2,61.5,57,2776
0.72,SI1,61.8,56,2776
0.72,SI1,60.7,56,2776
0.72,VS2,59.7,60.5,2776
0.71,SI1,60.5,56,2776
0.7,VS1,62.7,58,2777
0.71,VS2,62.1,58,2777
0.71,VS2,62.8,57,2777
0.71,VS2,63.8,58,2777
0.71,VS2,57.8,60,2777
0.7,VS2,62.1,55,2777
0.7,VS2,61.1,60,2777
0.7,SI1,60,59,2777
0.7,SI1,61.2,57,2777
0.7,SI1,62.7,59,2777
0.7,SI1,61,57,2777
0.7,SI1,61,58,2777
0.7,SI1,61.4,57,2777
0.72,SI1,61.8,61,2777
0.7,SI1,59.9,63,2777
0.7,SI1,61.3,58,2777
0.7,SI1,60.5,58,2777
0.7,VS2,64.1,59,2777
0.98,SI2,67.9,60,2777
0.78,SI1,62.4,58,2777
0.7,SI1,63.2,60,2777
0.52,VVS1,61.3,55,2778
0.73,VS2,60.8,56,2779
0.74,SI1,61.7,56,2779
0.7,VS2,63.6,57,2780
0.77,VS2,61.2,58,2780
0.71,VS2,62.1,54,2780
0.74,VS1,61.5,55,2780
0.7,VS1,61.4,59,2780
1.01,I1,61.8,60,2781
0.77,SI1,62.2,56,2781
0.78,SI1,61.2,56,2781
0.72,VS1,60.6,63,2782
0.53,VVS2,57.5,64,2782
0.76,VS2,61.3,56,2782
0.7,VS1,57.2,62,2782
0.7,VS1,62.9,60,2782
0.75,SI2,63.1,58,2782
0.72,SI1,60.8,57,2782
0.72,SI1,62.7,59,2782
0.7,SI1,62.8,60,2782
0.84,SI1,55.1,67,2782
0.75,SI1,61.4,59,2782
0.52,IF,62.2,55,2783
0.72,VS2,63,54,2784
0.79,VS1,63.7,56,2784
0.72,VS2,63.6,58,2787
0.51,VVS1,62,57,2787
0.64,VS1,61.5,56,2787
0.7,VVS1,60.5,60,2788
0.83,VS1,61.1,60,2788
0.76,VVS2,61.8,56,2788
0.71,VS2,63.3,56,2788
0.77,VS1,59.4,64,2788
0.71,SI1,62.5,55,2788
1.01,I1,64.5,58,2788
1.01,SI2,62.7,59,2788
0.77,SI1,64.2,52,2789
0.76,SI1,63.7,54,2789
0.76,SI1,60.4,58,2789
0.76,SI1,61.8,58,2789
1.05,SI2,63.2,56,2789
0.81,SI2,61.6,56,2789
0.7,SI1,61.6,56,2789
0.55,IF,60.9,57,2789
0.81,SI2,61,61,2789
0.63,VVS2,62.1,57,2789
0.63,VVS1,60.9,60,2789
0.77,VS1,61.3,60,2789
1.05,SI2,65.8,59,2789
0.64,IF,61.3,56,2790
0.76,VVS1,58.8,59,2790
0.83,SI2,62.3,55,2790
0.71,VS1,60.1,62,2790
0.71,VS1,61.8,59,2790
0.87,SI1,63.6,55.8,2791
0.73,SI1,62.2,56,2791
0.71,SI1,59.2,59,2792
0.71,SI1,61.8,59,2792
0.71,SI1,61.3,55,2792
0.7,VS1,62.1,60,2792
0.7,VS1,60.7,60,2792
0.76,VVS2,59.6,57,2792
0.7,VS1,62.2,56,2792
0.79,SI1,60.6,57,2793
0.7,VS2,62.9,57,2793
0.7,VS2,64.1,55,2793
0.76,VS2,61.3,56,2793
0.73,VS2,62.7,55,2793
0.79,SI1,63.2,56,2794
0.71,VS2,60.7,56,2795
0.81,VVS2,61.9,60,2795
0.81,SI2,62.6,55,2795
0.72,VS1,60.7,60,2795
0.72,SI2,62,60,2795
0.72,IF,63,57,2795
0.81,VS2,58,59,2795
0.72,VS2,62.9,57,2795
1,SI2,58.2,60,2795
0.73,SI1,63.2,58,2796
0.81,SI2,61.3,59,2797
0.81,SI1,60.3,60,2797
0.71,SI1,62.7,60,2797
0.71,SI1,61.3,58,2797
0.71,SI1,61.6,60,2797
0.57,VVS2,61.9,55,2797
0.51,VVS1,61.7,56,2797
0.72,VS2,61.9,58,2797
0.74,VS1,61.8,58,2797
0.74,VS1,61.6,56,2797
0.7,VVS1,58.8,66,2797
0.8,SI2,61,57,2797
1.01,SI2,67.4,60,2797
0.8,VS2,63.4,60,2797
0.77,VS1,61.5,59,2798
0.83,SI2,58,62,2799
0.82,SI2,62.4,54,2799
0.78,SI1,61.9,57,2799
0.6,IF,61.6,56,2800
0.9,SI2,62.2,59,2800
0.7,VS1,62.2,58,2800
0.9,SI2,61.3,56,2800
0.83,SI1,62.3,57,2800
0.83,SI1,61.8,57,2800
0.83,SI1,62.5,59,2800
0.74,VS1,62.9,60,2800
0.79,VS1,61.8,59,2800
0.61,IF,62.3,56,2800
0.76,VS1,59,70,2800
0.96,I1,60.7,55,2801
0.73,VS2,62.5,55,2801
0.73,VS2,62.7,58,2801
0.75,SI1,60.4,57,2801
0.71,VS2,62.1,58,2801
0.71,VS2,57.8,60,2801
0.71,VS2,63.8,58,2801
0.71,VS2,62.8,57,2801
1.04,I1,62.2,58,2801
1,SI2,62.3,58,2801
0.87,SI2,59.9,58,2802
0.53,IF,61.9,54,2802
0.72,VS2,63,55,2802
0.72,VS1,62.4,58,2802
0.7,VS2,62.9,58,2803
0.74,SI1,63.5,56,2803
0.71,VS2,61.3,56,2803
0.73,SI1,60.6,54,2803
0.7,VS1,65.1,58,2803
0.71,VS2,62.6,58,2803
0.71,VS2,58,62,2803
0.71,VS1,62.4,61,2803
0.77,VS2,61.3,57,2803
0.71,VS2,59.9,60,2803
0.78,VS2,60.8,58,2803
0.71,VS1,63.5,55,2803
0.91,SI2,62.2,57,2803
0.71,VS2,63.8,58,2804
0.71,VS2,64,57,2804
0.8,SI2,62.5,56,2804
0.7,SI1,62.3,58,2804
0.72,VS1,61.7,57,2804
0.72,VS1,62.2,58,2804
0.82,VS2,61.5,56,2804
0.7,SI1,61,59,2804
0.72,SI1,62.2,56,2804
0.72,SI1,61.5,54,2804
0.9,SI1,67.3,59,2804
0.74,VS2,61.7,58,2805
0.74,VS2,61.9,56,2805
0.73,SI2,61.8,58,2805
0.57,VVS1,58.7,66,2805
0.73,VS2,62.5,57,2805
0.72,VS2,62.8,56,2805
0.74,VS2,61.1,68,2805
0.82,VS2,64,57,2805
0.81,SI1,62.5,60,2806
0.75,VVS1,60.6,58,2806
0.7,SI1,61.6,55,2806
0.71,VS1,62.2,58,2807
0.71,VS1,60,57,2807
0.93,SI2,61.9,57,2807
0.8,VS2,62.8,57,2808
0.7,VS1,62,57,2808
1,I1,66.4,59,2808
0.75,VS2,63.4,56,2808
0.58,VVS2,60.9,56,2808
0.73,SI1,63.1,57,2808
0.81,SI1,63.1,59,2809
0.81,SI2,59.2,57,2809
0.71,SI1,60.7,54,2809
1.2,I1,64.6,56,2809
0.7,VS1,61.8,56,2810
0.7,VS1,59.9,60,2810
0.74,SI2,61.7,55,2810
0.7,VS1,62.8,61,2810
0.8,SI1,62.7,57,2810
0.75,SI1,63.4,58,2811
0.83,SI1,63.5,54,2811
1,VS2,65.7,59,2811
0.99,SI2,68.1,56,2811
0.7,VS1,63,60,2812
0.7,VS2,59.5,58,2812
0.7,SI1,63.5,59,2812
0.7,VS2,61.7,58,2812
0.32,SI1,62.7,58,554
0.32,SI1,62.8,58,554
0.32,SI1,62.4,57,554
0.32,SI1,61,59,554
0.32,SI1,63.1,56,554
0.32,SI1,60.7,57,554
0.3,SI1,60.9,59,554
0.3,SI1,60.1,55,554
0.3,SI1,62.9,58,554
0.3,SI1,63.3,56,554
0.3,SI1,63.8,55,554
0.3,SI1,62.9,57,554
0.3,SI1,63.4,60,554
0.32,SI1,63.9,55,554
0.33,SI2,61.4,56,554
0.29,VS1,61.9,55,555
0.29,VS1,62.4,55,555
0.31,SI1,61.8,58,555
0.34,VS2,61.5,56,555
0.34,VS2,60.4,57,555
0.34,VS1,61.8,55,555
0.34,VS1,62,56,555
0.3,VS1,62.3,56,555
0.29,VS1,61.6,56,555
0.35,SI1,60.6,56,555
0.43,I1,58.4,62,555
0.32,VS2,61.4,58,556
0.36,VS2,61.9,56,556
0.3,VS2,62,56,556
0.26,VS1,61.5,57,556
0.7,VS2,62.3,58,2812
0.7,VS2,60.9,61,2812
0.71,SI1,62.4,57,2812
0.99,SI1,55,61,2812
0.73,VS2,58.6,60,2812
0.51,VVS1,62,57,2812
0.91,SI2,59.8,58,2813
0.84,SI1,63.4,55,2813
0.91,VS2,64.3,58,2813
0.76,SI1,62.2,59,2814
0.76,SI1,61.7,57,2814
0.75,SI1,61.1,59,2814
0.55,VVS1,61.5,56,2815
0.76,SI2,58.5,62,2815
0.74,VS1,61.7,58,2815
0.7,SI1,60.4,56,2815
0.7,SI1,61.4,56,2815
0.7,SI1,61.5,55,2815
0.7,SI1,61.4,56,2815
0.9,VS2,65,56,2815
0.95,SI2,56,60,2815
0.89,SI2,60.2,59,2815
0.72,VS2,58.3,58,2815
0.96,SI2,53.1,63,2815
1.02,I1,60.3,58,2815
0.78,VVS2,61.4,56,2816
0.61,VVS2,60.1,57,2816
0.71,VS1,63.4,55,2816
0.78,SI1,61.5,59,2816
0.87,SI2,62.7,56,2816
0.83,SI1,62.5,55,2816
0.71,SI1,61.3,56,2817
0.71,VVS2,60.2,56,2817
0.71,VS2,62.7,57,2817
0.71,VS2,62.3,58,2817
0.63,VVS2,61.5,56,2817
0.71,SI1,59.2,59,2817
0.71,SI1,61.8,59,2817
0.71,SI1,61.3,55,2817
0.71,SI1,61.4,58,2817
0.9,VS2,62.8,55,2817
0.71,SI1,62.8,64,2817
0.7,VS2,62.4,61,2818
0.7,VS2,59.3,60,2818
0.7,VS2,63,60,2818
1,I1,61.3,60,2818
0.86,SI2,59.3,62,2818
0.8,SI1,61,57,2818
0.7,VS1,62.9,57,2818
0.7,VS1,59.6,57,2818
0.7,VS2,61.8,60,2818
0.7,VS1,62.7,57,2818
1,SI2,65.3,62,2818
0.72,VS1,63.8,58,2819
0.72,VS1,62.3,56,2819
0.7,VS1,59.7,63,2819
0.86,SI2,64.3,60,2819
0.71,VS1,62.9,58,2820
0.75,SI1,62,57,2821
0.73,VS2,61.6,59,2821
0.53,VVS1,61.9,55,2821
0.73,SI1,61.3,58,2821
0.73,SI1,63.6,57,2821
0.73,SI1,59.6,61,2821
0.73,SI1,62.2,59,2821
0.73,SI1,61.7,55,2821
0.73,SI1,63.2,58,2821
0.7,VS1,60.8,60,2822
0.72,VS2,60.3,59,2822
0.72,VS2,60.9,60,2822
0.72,VS2,62.4,59,2822
0.7,VS2,60.2,60,2822
0.6,VVS2,62,55,2822
0.74,VVS1,60.8,57,2822
0.73,SI1,62.1,55,2822
0.71,SI1,62.7,60,2822
0.71,SI1,61.3,58,2822
0.7,SI1,60.2,60,2822
0.7,SI1,60.7,56,2822
0.9,VS2,64,61,2822
0.71,SI1,60.2,56,2822
0.7,VS2,61.5,59,2822
0.7,VS2,62.6,56,2822
0.7,SI1,59.7,58,2822
0.7,SI1,61.4,64,2822
0.7,SI1,62.5,57,2822
0.7,SI1,61.8,56,2822
0.7,VS2,60.7,62,2822
0.7,VS2,60.6,58,2822
0.7,SI1,61.4,54,2822
0.79,SI2,62.8,59,2823
0.9,SI1,63.8,57,2823
0.71,VS2,62.3,58,2823
0.61,VVS2,61.3,54,2823
0.9,SI2,65.8,54,2823
0.71,SI1,60.5,56,2823
0.71,VS2,61.2,59,2824
0.77,VVS2,62.1,57,2824
0.74,VS1,63.1,58,2824
0.82,SI2,62.4,54,2824
0.82,SI2,60.8,60,2824
0.71,VS1,62.2,59,2825
0.83,SI1,60,59,2825
0.73,VS1,62,57,2825
0.83,SI1,62.5,59,2825
1.17,I1,60.2,61,2825
0.91,SI2,61.3,67,2825
0.73,VS1,62.6,60,2826
0.7,VS1,57.2,59,2826
0.9,SI2,62.2,59,2826
0.7,VS1,62.2,58,2826
0.7,VS2,63.3,56,2826
0.7,VS1,59.4,61,2826
0.9,SI2,63.5,56,2826
0.78,SI1,60.8,60,2826
0.96,I1,60.7,55,2826
0.7,SI1,62.3,59,2827
0.72,VS2,64,54,2827
0.79,VVS2,62.6,58,2827
0.7,VVS1,61.6,57,2827
0.7,VVS1,62.3,55,2827
0.7,SI2,60.6,57,2828
1.01,SI2,61.6,61,2828
0.72,VS1,62.2,58,2829
0.8,SI2,63.7,54,2829
0.59,VVS1,62,56,2829
0.72,VS1,61.7,57,2829
0.75,SI2,61.9,57,2829
0.8,SI2,60.2,57,2829
0.71,VS2,62.7,59,2830
0.77,SI1,61.7,56,2830
0.97,I1,60.7,56,2830
0.53,VVS1,60.9,57,2830
0.53,VVS1,61.8,57,2830
0.8,VS2,62.1,54.4,2830
0.9,SI1,60.6,62,2830
0.76,SI2,60.8,60,2831
0.72,SI1,62.3,57,2831
0.75,SI1,61.4,57,2831
0.72,SI1,62.1,58,2831
0.79,SI1,61.8,56,2831
0.72,VS2,62.5,58,2832
0.91,SI2,62.8,61,2832
0.71,VVS2,62.1,57,2832
0.81,SI1,63,60,2832
0.82,SI1,62.5,57,2832
0.71,VS1,62.2,58,2832
0.9,SI1,64.3,63,2832
0.8,VS2,62,58,2833
0.56,IF,61,59,2833
0.7,VS2,59.6,61,2833
0.7,VS2,61,57,2833
0.61,VVS2,61.7,55,2833
0.85,SI2,62.5,57,2833
0.7,SI1,60.7,57,2833
0.8,VS2,62.2,56,2834
0.8,VS2,62.8,57,2834
0.51,VVS1,59.9,58,2834
0.53,VVS1,61.4,57,2834
0.78,VS2,61.8,55,2834
0.9,SI1,63.4,54,2834
0.9,SI2,65.3,59,2834
0.77,SI2,60.7,55,2834
0.73,VS1,61.2,56,2835
0.63,VVS2,61.9,57,2835
0.7,VS2,61.5,54,2835
0.72,VS2,62.8,57,2835
0.72,SI1,61,57,2835
0.75,VS2,59.6,59,2835
0.82,SI1,60.7,56,2836
0.71,VS2,62.8,60,2836
0.7,VS1,62.6,59,2837
0.7,VS1,61.8,56,2837
0.71,SI1,59.8,53,2838
0.76,SI1,60.9,55,2838
0.82,SI1,64.9,58,2838
0.72,VS1,58.8,60,2838
0.7,VS2,62.3,58,2838
0.7,VS2,61.7,58,2838
0.7,VS1,62.6,55,2838
0.7,VS2,59.4,61,2838
0.7,SI1,63.5,59,2838
0.7,VS2,60.9,61,2838
0.7,VS2,59.5,58,2838
0.7,VS1,63,60,2838
0.74,SI1,60,57,2839
0.71,VS1,61.5,57,2839
0.7,VS1,61.6,54,2839
0.71,VS1,62.1,55,2839
0.71,VS1,59.1,61,2839
0.71,VS1,59,60,2839
0.71,VS1,60.5,58,2839
0.7,VS1,62.4,53,2839
0.73,VS2,61.8,54,2839
0.7,VS2,62.1,54,2839
0.7,VS1,61.3,57,2839
0.71,VVS2,60.3,58,2839
0.71,VS1,59.2,58,2839
0.79,VS2,59.3,62,2839
0.71,VS1,62.7,59,2839
0.77,VS1,61,60,2840
0.75,SI2,59.8,56,2840
0.7,SI1,61,56,2840
0.71,VS2,59.3,56,2840
0.92,SI2,61.9,56,2840
0.83,SI2,61.4,59,2840
0.7,VVS1,59.2,60,2840
0.73,VS2,60.3,59,2841
0.71,VS1,63.4,55,2841
0.73,SI1,63.9,57,2841
0.82,SI2,61.7,53,2841
0.82,SI2,62.3,56,2841
0.82,SI2,59.7,57,2841
0.52,VVS1,61.2,56,2841
1,I1,58.9,60,2841
0.95,SI1,66.7,56,2841
0.73,SI1,61.4,57,2841
0.73,VS2,59.9,59,2841
0.73,VS1,61.4,58,2841
0.8,VS1,62.6,54,2842
0.7,VS2,58.7,61,2842
0.7,VS2,60.2,62,2843
0.7,VS2,62.7,58,2843
0.71,VS2,59.4,58,2843
0.81,SI2,63.2,58,2843
0.71,SI1,61.5,58,2843
0.73,VVS2,61.3,57,2843
0.73,VS1,61.8,59,2843
0.72,VS2,62,57,2843
0.81,SI2,62.1,57,2843
0.71,VVS2,60.7,57,2843
0.73,SI1,57.7,61,2844
0.7,VS1,62,59,2844
1.01,I1,61.5,57,2844
1.01,I1,63.1,57,2844
0.79,VS2,62.5,57,2844
0.7,VS2,61.8,59,2845
0.7,VS2,58.9,60,2845
0.8,VS2,63.4,60,2845
1.27,SI2,59.3,61,2845
0.79,SI1,61.5,56,2846
0.72,VS1,60.2,59,2846
0.73,VVS2,61.6,56,2846
1.01,SI2,65.4,59,2846
1.01,I1,64.2,61,2846
0.73,SI1,59.1,59,2846
0.7,SI1,61.6,57,2846
0.7,VS2,59.1,61,2846
0.77,SI1,62.9,59,2846
0.77,VS2,61.3,60,2846
0.77,VS1,61.4,58,2846
0.84,SI1,61.2,57,2847
0.72,SI1,60.3,57,2847
0.76,SI1,61.1,59,2847
0.7,VVS2,62.9,59,2848
0.54,VVS2,61.5,55,2848
0.75,SI2,64.6,57,2848
0.79,SI1,64.1,54,2849
0.74,VS1,63.1,58,2849
0.7,VS2,61,60,2850
0.7,VS2,60.8,59,2850
0.75,SI1,61.5,56,2850
1.2,I1,63.1,60,2850
0.8,SI1,63.4,57,2851
0.66,VS1,62.1,56,2851
0.87,SI2,61,63,2851
0.86,SI1,62.7,59,2851
0.74,SI1,61,57,2851
0.58,IF,60.6,59,2852
0.78,VS1,61.5,57,2852
0.74,SI1,61.3,55,2852
0.73,SI1,62.7,55,2852
0.91,SI1,63.5,57,2852
0.71,VS2,62.6,58,2853
0.71,VS1,63.5,55,2853
0.79,SI2,62.8,57,2853
0.79,SI2,60,60,2853
0.71,SI1,62.7,58,2853
0.82,VS1,61.9,58,2853
0.78,VS1,61.9,57.1,2854
0.7,VS1,62.4,56,2854
1.12,I1,59.1,61,2854
0.73,VS2,62,57,2854
0.91,VS2,64.4,62,2854
0.91,VS2,65.4,60,2854
0.91,VS2,64.2,58,2854
0.91,SI1,65.8,58,2854
0.7,VS1,58.4,59,2854
0.68,VVS2,61.7,57,2854
0.73,VS2,62.5,57,2855
1.03,SI1,63.6,57,2855
0.74,VS2,62.4,57,2855
0.98,SI2,53.3,67,2855
1.02,SI1,53,63,2856
1,SI2,67.8,61,2856
1.02,SI2,61.6,55,2856
0.6,VVS2,60.8,57,2856
0.8,SI2,61.6,56,2856
0.97,I1,60.7,56,2856
1,SI1,67.9,62,2856
0.26,VS1,62.3,57,556
0.26,VS1,62.1,56,556
0.36,SI1,61.9,55,556
0.34,VS2,57.5,61,556
0.34,SI1,63.3,57,556
0.34,SI1,63.5,55,556
0.34,SI1,63.4,55,556
0.34,VS2,59.6,62,556
0.34,SI1,62.2,54,556
0.32,VS2,64.1,54,556
0.31,VVS1,61.6,55,557
0.31,VVS1,61.3,56,557
0.31,VVS1,62.3,54,557
0.31,VVS1,62,54,557
0.31,VVS1,62.7,53,557
0.31,VVS1,62.2,53,557
0.31,VS2,62.2,53.6,557
0.31,VS1,61.6,54.8,557
0.31,VS1,61.8,54.2,557
0.33,SI2,59.4,59,557
0.33,SI2,62.3,58,557
0.33,SI2,62.6,58,557
0.33,SI2,61.9,56,557
0.33,SI2,63,58,557
0.33,VS1,62.8,58,557
0.33,VS1,61.5,61,557
0.33,VS1,62.1,55,557
0.33,SI1,63,57,557
0.33,SI1,63.6,53,557
0.33,SI1,60.4,59,557
1,SI2,66.1,56,2856
0.77,SI1,60.8,59,2856
0.77,SI1,61,58,2856
0.7,VVS2,60.1,63,2857
0.9,SI2,63.1,58,2857
0.72,SI1,62.3,57,2857
0.9,VS2,61.9,59,2857
0.72,SI1,62.1,58,2857
0.7,VVS2,62.1,56,2858
0.81,SI1,61.3,57,2858
0.81,SI1,61.7,57,2858
0.71,VS2,61,60,2858
0.7,VS2,61.4,59,2858
0.71,VS2,61.5,60,2858
0.71,VS2,63.5,59,2858
0.92,SI1,62.9,58,2858
0.76,SI1,62.7,54,2858
0.73,SI1,61.5,56,2858
0.71,VS2,60.4,62,2858
0.7,VVS2,63.6,62,2858
0.9,SI2,64.5,56,2858
0.71,VS2,56.9,65,2858
0.7,VS2,61,57,2859
0.7,VS2,62.4,56,2859
0.77,VS1,60.9,60,2859
0.71,VS1,61.5,56,2859
0.7,VS2,59.6,61,2859
0.75,VS1,55.8,70,2859
0.83,SI2,59.2,60,2859
0.71,VS2,61.3,61,2860
0.9,SI2,63.6,58,2860
0.6,VVS2,61.9,54.9,2860
0.71,VS1,62.9,57,2860
0.53,VVS1,61.4,57,2860
0.71,SI1,60.7,58,2861
0.62,VVS2,61.6,56,2861
0.62,VVS2,61.6,56,2861
0.9,SI1,63,58,2861
0.62,IF,60.1,61,2861
0.82,SI2,61.7,59,2861
0.66,VS1,61,58,2861
0.7,SI1,62.5,55,2862
0.8,SI1,62.6,58,2862
0.8,SI2,62.5,59,2862
0.79,SI1,62.3,54,2862
0.71,VVS1,63.2,60,2862
0.7,VS2,61.1,57,2862
0.7,VS2,58.7,63,2862
0.79,VS1,60,60,2862
0.7,VS2,59.5,59,2862
1.22,I1,60.9,57,2862
1.01,SI2,67.6,57,2862
0.73,VS2,62.5,61,2862
0.91,VS2,64.3,58,2863
0.71,SI1,60.8,56,2863
0.83,SI1,62.3,58,2863
0.84,SI2,62.3,59,2863
0.71,SI1,61,61,2863
0.71,SI1,59.7,59,2863
0.71,SI1,61.7,56,2863
0.71,SI1,61.7,57,2863
0.71,SI1,61.4,58,2863
0.71,SI1,60.6,58,2863
0.91,SI1,59.5,62,2863
0.9,VS2,59.8,62,2863
0.71,VVS2,61.5,62,2863
0.71,SI1,59.1,61,2863
0.72,VS2,59.5,57,2863
0.72,SI1,60.9,60,2863
0.71,VS2,61,55,2863
0.81,SI2,60.3,57,2864
0.83,VS2,61.6,58,2865
0.73,SI1,60.8,55,2865
0.56,VVS1,62,56,2866
0.56,VVS1,61.8,55,2866
0.71,VS1,62.2,55,2866
0.7,VVS1,62.3,58,2866
0.96,SI1,61.3,58,2866
0.71,VVS1,62.9,57,2867
0.7,VS2,62.4,57,2867
0.71,VVS1,60.4,57,2867
0.8,VS2,61.2,53,2867
0.95,SI2,58.4,57,2867
0.82,SI2,62.3,56,2867
0.52,VVS1,61.2,56,2867
0.82,SI2,61.7,53,2867
